player_id,season,name,firstname,lastname,nationality,photo,team,position,age,appearances,minutes,goals,assists,market_value_eur
5,2023,M. Akanji,Manuel Obafemi,Akanji,Switzerland,https://media.api-sports.io/football/players/5.png,Manchester City,Defender,28,34,2514,2,0,14400000.0
14,2023,M. Dahoud,Mahmoud,Dahoud,Germany,https://media.api-sports.io/football/players/14.png,Brighton,Midfielder,27,17,454,0,1,6200000.0
18,2023,J. Sancho,Jadon Malik,Sancho,England,https://media.api-sports.io/football/players/18.png,Manchester United,Attacker,23,3,76,0,0,8600000.0
22,2023,J. Bruun Larsen,Jacob,Bruun Larsen,Denmark,https://media.api-sports.io/football/players/22.png,Burnley,Attacker,24,32,1251,6,0,25300000.0
23,2023,Sergio Gómez,Sergio,Gómez Martín,Spain,https://media.api-sports.io/football/players/23.png,Manchester City,Attacker,22,32,54,0,1,3600000.0
44,2023,Rodri,Rodrigo,Hernández Cascante,Spain,https://media.api-sports.io/football/players/44.png,Manchester City,Midfielder,27,35,2938,8,9,18500000.0
49,2023,T. Partey,Thomas,Teye Partey,Ghana,https://media.api-sports.io/football/players/49.png,Arsenal,Midfielder,30,14,788,0,0,10000000.0
54,2023,Diego Costa,Diego,da Silva Costa,Spain,https://media.api-sports.io/football/players/54.png,Wolves,Attacker,34,0,0,0,0,2300000.0
83,2023,A. Danjuma,Arnaut,Danjuma Adam Groeneveld,Netherlands,https://media.api-sports.io/football/players/83.png,Everton,Attacker,26,28,595,1,0,7200000.0
95,2023,B. Badiashile,Benoît Ntambue,Badiashile Mukinayi Baya,France,https://media.api-sports.io/football/players/95.png,Chelsea,Defender,22,25,1337,0,1,6800000.0
104,2023,Carlos Vinícius,Carlos Vinícius,Alves Morais,Brazil,https://media.api-sports.io/football/players/104.png,Fulham,Attacker,28,13,320,2,0,12900000.0
105,2023,F. Ballo-Touré,Fodé,Ballo-Touré,Senegal,https://media.api-sports.io/football/players/105.png,Fulham,Defender,26,22,80,0,0,5300000.0
110,2023,H. Massengo,Han-Noah,Massengo,France,https://media.api-sports.io/football/players/110.png,Burnley,Midfielder,22,3,13,0,0,5200000.0
130,2023,Nélson Semedo,Nélson,Cabral Semedo,Portugal,https://media.api-sports.io/football/players/130.png,Wolves,Defender,29,36,3093,0,1,19000000.0
159,2023,H. Lloris,Hugo Hadrien Dominique,Lloris,France,https://media.api-sports.io/football/players/159.png,Tottenham,Goalkeeper,36,0,0,0,0,1500000.0
161,2023,A. Whiteman,Alfie Malik,Whiteman,England,https://media.api-sports.io/football/players/161.png,Tottenham,Goalkeeper,24,0,0,0,0,2100000.0
164,2023,B. Davies,Benjamin Thomas,Davies,Wales,https://media.api-sports.io/football/players/164.png,Tottenham,Defender,30,30,1093,1,0,11300000.0
168,2023,D. Sánchez,Davinson,Sánchez Mina,Colombia,https://media.api-sports.io/football/players/168.png,Tottenham,Defender,27,1,76,0,0,3500000.0
169,2023,K. Trippier,Kieran John,Trippier,England,https://media.api-sports.io/football/players/169.png,Newcastle,Defender,32,28,2239,1,10,12200000.0
172,2023,D. Alli,Bamidele Jermaine,Alli,England,https://media.api-sports.io/football/players/172.png,Everton,Midfielder,27,0,0,0,0,9700000.0
174,2023,C. Eriksen,Christian,Dannemann Eriksen,Denmark,https://media.api-sports.io/football/players/174.png,Manchester United,Midfielder,31,33,1160,1,2,10600000.0
175,2023,E. Dier,Eric Jeremy Edgar,Dier,England,https://media.api-sports.io/football/players/175.png,Tottenham,Defender,29,4,199,0,0,3600000.0
178,2023,Lucas Moura,Lucas,Rodrigues Moura da Silva,Brazil,https://media.api-sports.io/football/players/178.png,Tottenham,Attacker,30,0,0,0,0,7800000.0
180,2023,O. Skipp,Oliver William,Skipp,England,https://media.api-sports.io/football/players/180.png,Tottenham,Midfielder,22,21,695,0,0,10100000.0
184,2023,H. Kane,Harry Edward,Kane,England,https://media.api-sports.io/football/players/184.png,Tottenham,Attacker,30,0,0,0,0,6400000.0
186,2023,Son Heung-Min,Heung-Min,Son,Korea Republic,https://media.api-sports.io/football/players/186.png,Tottenham,Attacker,31,35,2948,17,10,54700000.0
190,2023,Cédric Soares,Cédric Ricardo,Alves Soares,Portugal,https://media.api-sports.io/football/players/190.png,Arsenal,Defender,31,3,59,0,0,6300000.0
207,2023,I. Perišić,Ivan,Perišić,Croatia,https://media.api-sports.io/football/players/207.png,Tottenham,Attacker,34,5,98,0,1,3300000.0
247,2023,C. Gakpo,Cody Mathès,Gakpo,Netherlands,https://media.api-sports.io/football/players/247.png,Liverpool,Attacker,24,35,1652,8,5,45800000.0
253,2023,A. Areola,Alphonse Francis,Areola,France,https://media.api-sports.io/football/players/253.png,West Ham,Goalkeeper,30,31,2702,0,0,8000000.0
261,2023,T. Kehrer,Jan Thilo,Kehrer,Germany,https://media.api-sports.io/football/players/261.png,West Ham,Defender,26,4,18,0,0,8700000.0
269,2023,C. Nkunku,Christopher Alan,Nkunku,France,https://media.api-sports.io/football/players/269.png,Chelsea,Attacker,25,11,435,3,0,13700000.0
280,2023,Alisson Becker,Alisson Ramsés,Becker,Brazil,https://media.api-sports.io/football/players/280.png,Liverpool,Goalkeeper,30,28,2520,0,0,7100000.0
281,2023,C. Kelleher,Caoimhín Odhrán,Kelleher,Republic of Ireland,https://media.api-sports.io/football/players/281.png,Liverpool,Goalkeeper,24,10,900,0,0,5500000.0
